imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...31
mr_images/5_a.png	mr_images/5_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	184	184	128	860.5330974999815	NA	NA	NA	NA	861.0630171999801	861.0630171999801	right	1	3.0655629000393674	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_a.png	mr_images/7_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	185	185	174	864.1450124999974	NA	NA	NA	NA	864.678360599908	864.678360599908	right	1	2.7999668000265956	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_a.png	mr_images/1_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	186	186	3	867.4945524999639	NA	NA	NA	NA	868.0317744999193	868.0317744999193	right	0	3.087510699988343	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_a.png	mr_images/3_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	187	187	82	871.1486137999455	NA	NA	NA	NA	871.6814769000048	871.6814769000048	left	0	2.215936299995519	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_a.png	mr_images/11_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	188	188	25	873.9146162999095	NA	NA	NA	NA	874.4602938999888	874.4602938999888	right	0	3.893332699895837	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_b.png	mr_images/12_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	189	189	62	878.3763954999158	NA	NA	NA	NA	878.9268094999716	878.9268094999716	left	0	2.571393599966541	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_b.png	mr_images/6_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	190	190	162	881.5259688999504	NA	NA	NA	NA	882.0925854999805	882.0925854999805	left	0	4.008001900045201	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_b.png	mr_images/4_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	191	191	109	886.1256786999293	NA	NA	NA	NA	886.6627042999025	886.6627042999025	left	1	3.957440200028941	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_b.png	mr_images/11_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	192	192	45	890.6456554000033	NA	NA	NA	NA	891.1913073000032	891.1913073000032	right	0	3.225023000035435	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_b.png	mr_images/5_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	193	193	139	894.4408809999004	NA	NA	NA	NA	894.9764972999692	894.9764972999692	right	0	2.767254199949093	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_a.png	mr_images/4_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	194	194	106	897.7613296998898	NA	NA	NA	NA	898.3069017999806	898.3069017999806	left	0	2.0956824999302626	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_b.png	mr_images/11_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	195	195	40	900.4233621999156	NA	NA	NA	NA	900.9587645999854	900.9587645999854	right	1	3.3275451000081375	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_a.png	mr_images/12_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	196	196	56	904.31040019996	NA	NA	NA	NA	904.8393367999232	904.8393367999232	left	0	3.838785200030543	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_a.png	mr_images/12_a_z_315.png	left	ccw	45	NA	NA	NA	NA	0	197	197	51	908.705548799946	NA	NA	NA	NA	909.2407215998974	909.2407215998974	right	0	2.498984099947847	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_a.png	mr_images/11_a_z_225.png	left	ccw	135	NA	NA	NA	NA	0	198	198	35	911.7594421999528	NA	NA	NA	NA	912.2882890999316	912.2882890999316	right	0	3.299634200055152	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_a.png	mr_images/1_b_z_135.png	right	cw	135	NA	NA	NA	NA	0	199	199	8	915.6045558999758	NA	NA	NA	NA	916.137779599987	916.137779599987	right	1	4.081667799968272	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_b.png	mr_images/7_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	200	200	180	920.2371989999664	NA	NA	NA	NA	920.7883895999984	920.7883895999984	left	0	2.3669519999530166	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/6_a.png	mr_images/6_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	201	201	151	923.1868359999498	NA	NA	NA	NA	923.7200712999328	923.7200712999328	right	0	4.414506400004029	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_b.png	mr_images/4_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	202	202	118	928.1528133999092	NA	NA	NA	NA	928.6860447999788	928.6860447999788	left	0	3.5863047000020742	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_b.png	mr_images/1_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	203	203	12	932.3022857999896	NA	NA	NA	NA	932.8380275999662	932.8380275999662	left	0	2.5537724000168964	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_a.png	mr_images/5_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	204	204	124	935.4227586999768	NA	NA	NA	NA	935.9685159999644	935.9685159999644	left	0	2.788183699944057	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_b.png	mr_images/1_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	205	205	23	938.7846645999234	NA	NA	NA	NA	939.3235616999444	939.3235616999444	right	0	4.606425200006925	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_a.png	mr_images/5_b_z_45.png	right	cw	45	NA	NA	NA	NA	0	206	206	120	943.9549404999708	NA	NA	NA	NA	944.5007287999616	944.5007287999616	left	0	2.0211907000048086	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_a.png	mr_images/7_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	207	207	169	946.5502655999736	NA	NA	NA	NA	947.0834642999108	947.0834642999108	right	0	2.9022906000027433	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_b.png	mr_images/4_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	208	208	117	950.0164700999158	NA	NA	NA	NA	950.5496563999914	950.5496563999914	right	0	1.8595772999105975	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
